category,dim1,dim2,dim1_contrib,dim2_contrib
Q1=1,-0.03286185127522809,0.23407835595634635,0.00030522035147085826,0.020731582906730446
Q1=2,0.03511953571398424,-0.2501600750678505,0.0003261896885948109,0.022155890129330152
Q2=1,0.4732326635258032,0.7079284583936174,0.005425403868472606,0.01625331297812186
Q2=2,-0.027824683615559787,-0.24921512366644932,0.00012087280502900971,0.012980679535688358
Q2=3,-0.10193020504278973,-0.0509988132005239,0.0021814262546860563,0.0007310303178790642
Q2=4,0.13682263281865165,0.024016719725340478,0.0019148714334258471,7.898263583414872e-05
Q2=5,0.005236228355507247,0.5505379322068773,1.4945220306637288e-06,0.022116691946688218
Q3=1,0.07494663899039365,0.7067395841644163,0.000260815597524305,0.031047638945852725
Q3=2,-0.4112634033555627,0.2750839308847737,0.010812942204636442,0.006476117263914739
Q3=3,-0.1353438474590419,-0.17839632870275698,0.0025023797692876153,0.005820074158910133
Q3=4,0.00849053246949863,-0.18995129143471856,1.3825946130172769e-05,0.009263818049051839
Q3=5,0.36617207769453286,0.0959786835040727,0.014527017867624207,0.001336091215443758
Q4=2,-0.09130892484644498,-0.04506990694358364,0.0018795393010693027,0.000613025845684314
Q4=3,-0.510787240218245,-0.009417954026759422,0.014397068734210991,6.5522074615043094e-06
Q4=4,0.12118224488447427,0.8020566081959051,0.0015416391525200069,0.09040559241163412
Q4=5,-0.04173143451070752,-0.2347324353975561,0.00013008575815790806,0.005509723991309453
Q4=6,0.36182205535461026,-1.2778456000429097,0.007840797278329883,0.13092043082894428
Q4=8,0.6499659905901293,0.7633354727670375,0.01137159550287424,0.020996723846495435
Q5=1,0.17312815339894075,0.5448682077038068,0.0017346585098512092,0.023000752401736636
Q5=2,-0.12272336885160572,-0.649922687212726,0.002331108667184314,0.08752092240043798
Q5=3,0.1161739041210535,0.32744318762295443,0.0028064402112934752,0.029846338052705524
Q5=4,-0.18991360904545485,0.15410644407465562,0.0036649602397086836,0.0032305703402152777
Q5=5,0.16531276313563661,-0.5899044820099026,0.0006804475272403511,0.011599139488185447
Q6=1,-0.04753733450921391,0.17045503598871975,0.0005048796694822608,0.008689972707514938
Q6=2,-0.015973212117055262,-0.35422372738368757,4.412632784205015e-05,0.029050196611151
Q6=3,0.07770709613861182,0.35691855026778674,0.0007964482776311786,0.02249339279616812
Q6=4,0.16631856171336518,-1.2682717808261805,0.0005212182560210484,0.04057358152645777
Q7=1,0.3147819126246408,-0.3142995679946075,0.010135455558813738,0.013526698543583153
Q7=2,-0.19472827794030415,-0.22194415448802318,0.005920060942273566,0.010295230217233676
Q7=3,-0.0629031766369373,0.26777545379906537,0.0008307682610277094,0.02015379224415111
Q7=4,0.2797448466470471,0.6919419368855195,0.00416036493307874,0.03407430860765462
Q7=5,-0.13536689503124885,-1.0248625374437468,0.0004685853187417609,0.03595634084381834
Q8=1,0.02996317316501205,0.0238255670136917,0.0003908949278340738,0.00033086545523264304
Q8=2,-0.11678417492628147,-0.0928623003485449,0.0015235483030641324,0.0012895780092501182
Q90=1,0.5598451327285866,-0.2232012093688087,0.04830047948776522,0.010277541153875337
Q90=2,0.5226490910752688,-0.10680649495043264,0.05459551843235557,0.0030521960847654218
Q90=3,-0.24571836802340477,0.5650718073084681,0.006947867073666686,0.04918855284526733
Q90=4,-2.261906571145148,-0.7069375345293132,0.2203481682798841,0.028813944226647164
Q90=5,-1.8586818069020687,0.6048332520358354,0.12089089303198454,0.017137020563046522
Q91=1,0.5355196970364684,-0.2675959157706907,0.049405012106938144,0.016514277648095422
Q91=2,0.5621535693119072,-0.1391533562828785,0.051889551559412765,0.004256355098307596
Q91=3,-0.21276998518658174,0.6453190051908033,0.006214855568683218,0.07653141339507535
Q91=4,-2.0539223171252705,-0.6855902205120266,0.15897769676665788,0.02371253093179266
Q91=5,-2.1855431437049404,0.1736971445295996,0.17036280572548818,0.001440528592655697
